SlogP_VSA4,PEOE_VSA10,EState_VSA7,BCUT2D_LOGPLOW,VSA_EState3,Tertiary_Amines,EState_VSA8,Aromatic_Hydroxyl,PEOE_VSA6,SlogP_VSA11,FpDensityMorgan3,Aryl_Methyl,MinEStateIndex,EState_VSA9,SPS,Secondary_Amines,VSA_EState5,PEOE_VSA1,NumRotatableBonds,MaxEStateIndex
6.9237372,0,90.99550603,-2.230429738,0.387008269,0,49.38830668,0,114.7580587,0,1.14516129,1,-0.568488187,19.93591408,11.64516129,0,0,0,6,13.67097266
6.9237372,0,19.05647134,-2.288527726,0,1,24.26546827,0,66.22712218,0,1.468085106,11,-0.597921688,0,13.65957447,4,-2.726466015,0,7,13.44643443
6.9237372,0,19.05647134,-2.290606872,0,1,24.26546827,0,78.35985631,0,1.617021277,11,-0.624018306,0,13.65957447,4,-2.856968505,0,7,13.56594625
6.9237372,0,67.58740788,-2.288527764,0,1,0,0,90.49259045,0,1.254545455,13,-0.617431285,0,13.27272727,4,-2.871620091,0,9,13.53038383
6.9237372,0,67.58740788,-2.29060696,0,1,0,0,96.55895752,0,1.418181818,13,-0.645818304,0,13.27272727,4,-3.012706306,0,9,13.65977046
6.9237372,0,18.19910121,-2.289174762,0,1,55.45467375,0,78.35985631,0,1.630434783,11,-0.510505338,0,13.7826087,4,-2.287069504,0,7,13.57175722
6.9237372,0,24.26546827,-2.304110573,0,1,79.72014202,0,102.6253246,0,1.509803922,11,-0.623468584,0,15.17647059,4,-2.341756606,0,5,13.8784695
6.9237372,0,18.19910121,-2.289174735,0,1,79.72014202,0,102.6253246,0,1.433962264,13,-0.513239655,0,13.47169811,4,-2.297239805,0,9,13.66374852
6.9237372,0,6.9237372,-2.231623245,0.185819616,0,0,0,17.69618563,0,1.454545455,1,-3.769223722,0,12.06060606,0,0,0,3,12.98940495
6.9237372,0,12.13273414,-2.287876492,0,1,79.72014202,0,102.6253246,0,1.226415094,13,-0.513658984,0,13.47169811,4,-2.296373107,0,9,13.5335024
6.9237372,0,18.19910121,-2.289174704,0,1,55.45467375,0,78.35985631,0,1.608695652,11,-0.510545139,0,13.7826087,4,-2.287177739,0,7,13.56934761
6.9237372,0,0,-2.543454547,-0.645008233,0,0,0,41.9616539,0,1.307692308,3,-5.801248021,0,13.02564103,0,0,0,3,14.3563272
6.9237372,0,31.18920547,-2.545222838,0,1,0,0,41.59080471,0,1.456521739,7,-6.040097756,0,15.13043478,4,-3.955001329,0,5,14.87945367
6.9237372,0,55.45467375,-2.545222985,0,1,0,0,53.35268966,0,1.283018868,7,-6.051206596,0,14.64150943,4,-3.973009097,0,7,14.97915037
